num	sa	year	doc	SDG_1	SDG_2	SDG_3	SDG_4	SDG_5	SDG_6	SDG_7	SDG_8	SDG_9	SDG_10	SDG_11	SDG_12	SDG_13	SDG_14	SDG_15	SDG_16	SDG_17	Filter							doc	StatApp	year
45	sa	2018	Poland_2018-sa	0.007900011	0.019717084	0.010571746	0.031601606	0.015150828	0.014564344	0.026263714	0.037975853	0.028928776	0.012405815	0.034649792	0.036042104	0.062048115	0.022660075	0.040667747	0.018417153	0.094426821	0.486008415							Greece_2018	sa	2018
31	sa	2017	Portugal_2017-sa	0.013602352	0.010160794	0.006005867	0.037443991	0.04331633	0.021226779	0.022627223	0.050318891	0.026505153	0.021652577	0.027876788	0.032055089	0.077066167	0.031184851	0.030205111	0.02677026	0.086234684	0.435747094							Poland_2018	sa	2018
52	sa	2017	Qatar_2017-sa	0.01939505	0.033746521	0.014262343	0.041273854	0.030709614	0.038049497	0.039596219	0.043386387	0.036557068	0.009319297	0.024805569	0.013110658	0.036446159	0.013978348	0.017618859	0.016977528	0.105330694	0.465436334							Sri_Lanka_2018		2018
113	sa	2018	Qatar_2018-sa	0.007043555	4.19E-04	1.94E-06	0.005647702	9.61E-07	0.041736149	0.049647118	0.023037853	0.007092972	7.07E-05	0.131211892	0.064299544	0.057662679	0.023594536	0.056754482	0.005855795	0.098034522	0.427888426							Japan_2017	sa	2017
54	sa	2018	Romania_2018-sa	0.00623973	3.57E-07	0.056700929	0.040123557	0.007878973	0.034034176	0.047589264	0.030585231	0.007853141	0.007401108	0.039290115	0.047097695	0.053853417	0.016945842	0.074001236	0.019096317	0.060181367	0.451127544							Lebanon_2018	sa	2018
59	sa	2018	Saudi_Arabia_2018-sa	0.0034348	0.020579438	0.004952787	0.041828856	0.025118458	0.033516039	0.036670456	0.045826292	0.023957183	0.007554193	0.063367945	0.034341659	0.042761572	0.019032932	0.027887652	0.019820143	0.089401716	0.45994788							Palestine_2018	sa	2018
88	sa	2018	Singapore_2018-sa	0.008221429	0.018248766	0.020902807	0.042296668	0.021864627	0.039156907	0.035001831	0.028293106	0.045832928	0.015373006	0.061771267	0.062918405	0.062268819	0.050786237	0.060439108	0.010763297	0.041059357	0.374801434							Nepal_2017	sa	2017
102	sa	2018	Slovakia_2018-sa	0.020549625	5.33E-05	0.01463266	0.055590899	0.006719715	0.007630712	0.03012007	0.049105938	0.002154393	0.028093788	0.055537515	0.025006934	0.065890421	1.43E-06	0.032996248	0.045213671	0.077949091	0.482753572							Jordan_2017		2017
97	sa	2017	Slovenia_2017-sa	0.007703798	0.020951063	0.021149028	0.069696022	0.039952558	0.022471871	0.020359629	0.065729105	0.012021302	0.017696876	0.036354896	0.039239894	0.049699048	0.019929293	0.026274572	0.026085675	0.063916941	0.44076843							Qatar_2017	sa	2017
26	sa	2018	Sri_Lanka_2018-sa	0.018588041	0.018264997	0.013902585	0.035168068	0.012529026	0.034394206	0.024368967	0.017790594	0.022418629	0.016761792	0.040457265	0.041457528	0.057874948	0.033229379	0.04725001	0.02566242	0.097455287	0.442426258							Sudan_2018		2018
36	sa	2018	Sudan_2018-sa	0.018674579	0.044580549	0.004119281	0.026013114	0.021821408	0.015556862	0.025617577	0.01881938	0.014742408	0.011062193	0.025241013	0.019882241	0.04658352	6.31E-05	0.02834785	0.065932229	0.117403539	0.495539127							Romania_2018	sa	2018
14	sa	2017	Sweden_2017-sa	1.62E-04	0.010698812	0.010190747	0.015839475	0.060534256	0.001227084	0.008018068	0.042070087	0.019983318	0.015630137	0.023667867	0.044110499	0.080720015	0.022567379	0.01835348	0.029414094	0.121381559	0.475431398							Albania_2018	sa	2018
12	sa	2018	Switzerland_2018-sa	0.013563709	0.029251674	0.02939522	0.023801195	0.044042777	0.022688598	0.04911819	0.048286994	0.007136119	0.015313963	0.044019073	0.052315367	0.051749327	0.042027967	0.055396849	0.027568712	0.026241303	0.418082964							Malta_2018		2018
39	sa	2017	Tajikistan_2017-sa	0.00888261	0.044243677	0.026249765	0.027212127	0.047395249	0.048071763	0.032674722	0.011670648	0.0091433	0.015205942	0.021653372	0.021100042	0.038352396	1.33E-06	0.022735976	6.27E-04	0.102439564	0.52234068							Brazil_2017		2017
62	sa	2017	Thailand_2017-sa	0.007612436	0.015640778	0.020593721	0.035218568	0.017516675	0.033492397	0.021968163	0.025277474	0.018209682	0.022349817	0.033933769	0.037165809	0.057920888	0.051748825	0.044585762	0.020987685	0.093144036	0.442633515							Bahamas_2018	sa	2018
105	sa	2017	Togo_2017-sa	0.033565256	0.044167109	0.036702396	0.017410484	0.043013322	0.021314045	2.96E-06	0.021363805	0.037651619	0.007313938	0.019021403	0.015865464	0.067210889	0.057605298	0.002053993	0.020124288	0.097716257	0.457897476							Saudi_Arabia_2018	sa	2018
72	sa	2018	Viet_Nam_2018-sa	0.021865575	0.01032277	0.027277695	0.033877601	0.035509458	0.023355592	0.026774884	0.036916228	0.020116159	0.027077355	0.039431975	0.035522361	0.046245543	0.024683828	0.039038433	0.027264431	0.056489764	0.468230348							Armenia_2018	sa	2018
95	sa	2017	Zimbabwe_2017-sa	0.019899321	0.050022146	0.035190607	0.029205478	0.090848114	0.024851151	0.01736036	0.044423386	0.019076032	3.81E-05	0.010067193	0.019051146	0.051305283	2.56E-05	0.029229643	0.01806814	0.106787789	0.434550583							Bahrain_2018	sa	2018
94		2017	Afghanistan_2017	0.064342433	0.083846179	0.066755108	5.25E-05	0.064772148	3.51E-04	3.41E-04	0.006400206	0.028185345	0.010816402	0.012685771	0.012233829	0.033537991	5.68E-07	0.010395245	0.029325476	0.119087425	0.456871578							Thailand_2017	sa	2017
2		2018	Albania_2018	0.016428483	0.017017111	0.011269621	0.023925277	0.047376398	0.049625773	0.029621684	0.051640649	0.013731697	0.030502225	0.045976695	0.025868932	0.035473225	4.86E-04	0.012169993	0.061049418	0.090838456	0.436997993							Italy_2017		2017
77		2018	Armenia_2018	0.018486888	0.01862235	0.03317304	0.032924993	0.050537011	0.046928288	0.052881803	0.034712719	0.009503873	0.010094118	0.032608002	0.062144676	0.038151968	6.04E-05	0.037175794	0.030486632	0.054993603	0.436513892							Kenya_2017		2017
69		2018	Australia_2018	0.006324111	0.017556846	0.015171692	0.030093216	0.043231339	0.027276034	0.026868301	0.034158262	0.022175698	0.01047949	0.041192715	0.028431536	0.067044418	0.036080942	0.026776295	0.026685015	0.072849202	0.467604887							Netherlands_2017	sa	2017
37		2017	Azerbaijan_2017	0.019516852	0.025604658	0.061866723	0.009444588	0.04445738	0.00468825	0.012653394	0.033298165	0.03006849	0.01731171	0.010727535	0.013859194	0.053518406	0.029231523	0.01625153	0.028889761	0.108813311	0.47979853							Lithuania_2018		2018
24		2018	Bahamas_2018	0.023307122	0.011257797	0.019812671	0.035649243	0.017511906	0.014090982	0.016844219	0.032838452	0.022407364	0.017770717	0.037654455	0.025886663	0.065022443	0.033298145	0.04073119	0.026986525	0.08526477	0.473665336							Lithuania_2018	sa	2018
96		2018	Bahrain_2018	0.002748243	0.010628509	0.027668311	0.031074772	0.037686447	0.030487159	0.019077348	0.040935501	0.015038958	0.007494597	0.050501856	0.028521314	0.058721217	0.022260626	0.033512655	0.03999566	0.079438721	0.464208105							Malaysia_2017		2017
117		2017	Bangladesh_2017	0.021629822	0.044223072	0.03221597	0.012835629	0.036346971	0.011299948	8.42E-04	0.029543222	0.027605792	0.01688917	0.024145474	0.014926564	0.063940692	0.068548597	0.004351935	7.15E-07	0.144559405	0.446095517							Australia_2018		2018
84		2017	Belgium_2017	0.014225183	0.017534363	0.020990789	0.031542916	0.041156133	0.027300904	0.028423327	0.035316026	0.025448448	0.012055398	0.027496725	0.038150302	0.083200477	0.023609439	0.034852767	0.034783012	0.086782615	0.417131176							Bangladesh_2017	sa	2017
106		2017	Belize_2017	0.054660723	7.76E-04	0.135212379	0.016606327	0.133596943	0.017493732	2.76E-06	1.71E-06	0.00427468	5.87E-04	0.014880056	0.019391297	0.048724185	0.068524262	0.0116193	0.007013087	0.053423474	0.413212006							Maldives_2017	sa	2017
17		2018	Bhutan_2018	0.017799917	0.023144437	0.030832991	0.049188866	0.033867954	0.044536662	0.018484717	0.017472388	0.02057111	0.005370188	0.038154174	0.028880641	0.066405945	0.004063586	0.051944969	0.017495868	0.073495576	0.45829001							Viet_Nam_2018	sa	2018
57		2017	Brazil_2017	0.030169513	0.025668578	0.029684085	0.015947391	0.036551545	5.12E-05	0.007903039	0.013399888	0.024201388	0.012270476	0.04398421	0.019251653	0.058190438	0.037389939	0.016784848	0.018542248	0.168001699	0.442007865							Denmark_2017	sa	2017
118		2018	Cabo_Verde_2018	0.033644661	0.015517247	0.015570873	0.045160129	0.023199133	0.039116217	0.016856045	0.030501937	0.010298355	0.015131173	0.036605822	0.029942418	0.0547862	0.022833013	0.028085186	0.016935134	0.090106104	0.475710354							Greece_2018		2018
21		2018	Canada_2018	0.010916297	0.027511861	0.011896561	0.061235698	0.072354269	0.011204987	0.024937636	0.037368464	0.017887236	0.020019712	0.024320294	0.01738443	0.076220238	0.025875069	0.040937838	0.026039105	0.055009261	0.438881043							Kiribati_2018_without_tables		bles
78		2017	Cyprus_2017	0.005221794	0.008528476	0.008613992	0.058721585	0.03052341	0.018786579	0.038901653	0.053861444	0.020095793	0.005417238	0.031669662	0.039071174	0.063889951	0.028289858	0.072240427	0.04241823	0.057083703	0.41666503							Jamaica_2018		2018
13		2017	Czech_Republic_2017	0.011899411	1.12E-06	0.00274725	0.009680932	0.031151672	0.022878483	0.024484784	0.014947142	0.001668447	0.007280485	0.049695603	0.030928005	0.063321329	8.35E-04	0.055632915	0.039894976	0.139100939	0.493851714							Armenia_2018		2018
20		2017	Denmark_2017	0.005307867	0.004325739	0.00386914	0.030629386	0.036247228	0.003726249	0.010154957	0.035476996	0.012008845	0.017888814	0.015915734	0.043904204	0.074664347	1.38E-05	0.006429446	0.034365653	0.163502002	0.501569604							Cyprus_2017		2017
110		2018	Egypt_2018	0.023972275	0.008989304	0.014948969	0.032024157	0.019125245	0.032470387	0.044711473	0.045880269	0.009334592	0.018490388	0.0517162	0.027055785	0.046059232	0.033048245	0.02125268	0.016039911	0.08386162	0.471019269							Saudi_Arabia_2018		2018
4		2017	Ethiopia_2017	0.021983525	0.042841762	0.035455514	0.015071917	0.037716106	0.028247843	0.009547269	0.033151919	0.042926763	4.93E-07	0.02790681	0.024770215	0.062809884	0.011569319	0.016482466	0.01126331	0.109050258	0.469204627							Malta_2018	sa	2018
74		2018	Greece_2018	0.007205952	0.003778482	0.002544403	0.038540301	0.021502367	0.010335483	0.016779006	0.05410935	0.026268067	0.016586051	0.033736701	0.043648855	0.071938119	0.039766003	0.025711581	0.034828755	0.098941856	0.453778668							Portugal_2017		2017
43		2018	Hungary_2018	0.004734314	0.012907416	0.009596894	0.040377338	0.016967052	0.039155067	0.021604511	0.050481747	0.01279064	0.011245112	0.02459862	0.051285068	0.072731219	0.021061036	0.054231912	0.032862147	0.080815323	0.442554582							Ethiopia_2017	sa	2017
92		2017	India_2017	0.020896804	0.040752115	0.02798437	0.013767605	0.042463394	0.026123855	0.021629366	0.020048478	0.030559641	0.00887719	0.007429129	0.001336212	0.067739971	0.036953446	0.028284202	0.001994402	0.140269738	0.462890084							Kenya_2017	sa	2017
111		2017	Indonesia_2017	0.031771598	0.045891429	0.068740591	0.013277372	0.081395633	0.012222635	0.007931876	0.006020581	0.035879675	0.00909767	0.013435297	0.023353262	0.031818235	0.039777695	0.005615814	0.014320412	0.108236273	0.451213952							Belgium_2017		2017
115		2018	Ireland_2018	0.017818591	0.015829762	0.016323073	0.029496637	0.048946538	0.013566775	0.025642967	0.036154953	0.008593584	0.012839883	0.020102552	0.027047161	0.090153626	0.022371479	0.023399916	0.03462792	0.075230031	0.481854552							Thailand_2017		2017
